MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
6.244,27,9.462,4.337,2290,5.267,35.10365,-123.64472,3.231
14.31,26,2.461,4.036,3192,4.983,37.59311,-117.88315,5.816
11.248,29,2.948,4.576,354,4.131,36.07081,-118.43808,4.001
9.381,29,5.68,1.669,213,4.93,36.9757,-120.43643,4.274
3.184,22,7.788,1.86,1362,3.283,40.57611,-123.60406,2.502
3.184,9,4.967,2.214,4740,5.532,40.53301,-119.92501,1.248
1.813,24,6.438,3.121,1605,3.3,32.69946,-120.38411,0.764
13.126,42,2.229,2.38,4061,1.141,37.68565,-123.3766,6.501
9.416,19,5.695,2.199,4260,4.512,41.53195,-120.77313,4.257
10.913,38,3.941,1.731,1302,5.154,36.7373,-115.77479,3.924
1.288,31,6.131,1.637,4658,2.123,33.54888,-115.17437,0.181
14.579,39,6.207,2.892,2562,2.589,32.60717,-121.82823,5.047
12.654,15,8.025,2.784,4507,4.475,36.37749,-121.46669,5.154
3.973,32,6.319,4.141,644,3.869,40.83082,-121.46069,1.207
3.546,51,6.914,4.295,3277,5.45,40.98086,-117.94864,1.582
3.568,46,6.237,3.802,1686,3.388,38.78578,-120.54572,2.628
5.259,48,9.923,4.325,3816,4.362,41.55303,-117.50034,2.329
8.347,46,8.333,1.435,1417,2.358,33.18649,-124.32826,3.987
7.047,29,8.045,2.831,1768,5.647,36.01969,-118.04907,3.343
5.077,34,7.018,2.146,155,2.849,40.03002,-120.43408,2.885
9.566,9,6.227,2.007,1066,3.698,40.47884,-117.938,4.36
2.953,35,4.758,3.851,2044,4.082,33.36919,-114.96645,0.833
5.09,6,8.272,4.325,2598,2.271,38.07796,-114.48728,2.678
6.129,37,3.517,1.459,1431,2.584,38.82824,-118.72624,3.01
7.385,14,2.292,1.496,3463,3.512,34.60803,-122.57911,2.428
11.992,47,7.585,3.558,1499,2.354,32.81683,-114.85859,5.265
3.795,50,3.159,1.577,3647,1.651,32.69676,-119.45178,1.238
8.199,49,9.231,4.074,2810,5.183,35.9105,-120.67987,3.425
9.294,9,8.165,4.315,4002,2.624,33.71091,-122.92942,3.459
1.65,19,6.818,3.091,3920,3.08,37.92656,-114.98889,0.259
9.506,23,4.511,4.634,1734,3.736,34.87472,-114.45417,3.792
3.387,41,7.104,1.081,3020,5.212,35.71197,-114.47537,2.233
1.911,28,5.815,1.906,3789,1.702,35.77352,-119.6228,1.509
14.284,16,4.329,4.092,3675,4.13,41.34741,-115.62482,6.172
14.519,26,9.561,4.829,3072,2.755,40.68503,-117.16289,6.808
12.318,38,3.295,4.842,4495,5.348,38.66325,-119.57757,3.817
5.265,40,8.027,1.002,316,4.306,33.99137,-115.85447,4.141
2.367,25,8.4,3.527,2917,1.726,33.23104,-119.56054,0.606
10.579,35,9.614,1.109,207,2.485,35.87917,-116.29583,3.467
7.162,5,6.395,3.801,2508,1.181,37.92535,-114.57702,3.166
2.709,7,6.279,4.072,1266,4.853,39.3874,-117.57555,1.405
7.932,23,9.362,4.431,4938,3.064,32.72821,-114.76991,4.085
1.481,25,8.409,3.118,1547,1.243,34.3505,-118.89889,1.584
13.73,1,8.109,4.4,1298,1.067,36.66516,-122.05282,4.557
4.623,22,8.313,4.695,1327,5.778,35.91636,-118.58564,2.321
10.275,4,5.945,3.133,4695,5.262,36.85373,-118.77078,4.496
5.364,28,2.331,3.096,407,2.672,35.61025,-121.69461,2.618
8.281,48,3.586,3.023,4027,3.583,38.08468,-117.33473,4.156
8.654,14,7.144,3.019,1769,3.88,40.72694,-122.80036,3.37
3.588,33,5.169,4.098,1299,3.576,33.27825,-119.39037,1.483
14.574,4,6.854,1.269,3869,2.54,35.2834,-121.85943,6.286
11.852,42,6.413,2.81,2248,2.953,35.03013,-114.30653,5.055
14.153,11,5.509,3.096,1766,1.906,37.66928,-122.3287,5.877
13.528,39,3.878,1.858,2499,1.166,40.97598,-114.62526,6.189
9.371,32,7.752,3.165,2293,1.774,40.28917,-114.82807,4.773
13.906,4,9.272,2.823,3355,1.065,41.07427,-120.73129,5.3
2.239,1,8.16,3.95,1983,3.165,34.51901,-124.20501,1.094
3.744,26,2.96,2.413,244,4.304,35.76371,-116.87842,1.889
1.633,33,6.304,4.799,3971,1.905,35.11705,-122.77871,0.833
5.555,17,8.683,2.655,175,3.67,37.68619,-117.826,2.748
6.441,27,6.728,3.524,2872,2.625,38.87616,-122.34907,3.549
4.799,42,5.517,1.887,485,1.6,36.44613,-124.17577,1.891
12.602,5,4.276,3.755,2314,1.638,35.42355,-124.03722,4.329
5.995,7,4.643,3.055,546,4.091,38.50333,-117.80469,2.433
4.933,25,3.937,2.369,4596,1.589,37.23424,-115.86408,1.849
8.598,8,3.566,2.392,1223,3.766,40.37284,-115.44305,4.117
2.973,34,6.711,2.502,2181,1.953,33.01246,-118.0221,1.805
12.231,41,6.075,2.75,4001,5.331,39.49269,-120.91602,5.626
2.044,4,7.879,1.991,2563,1.25,39.08125,-118.50755,1.007
14.816,12,4.463,2.11,697,2.935,40.73365,-117.50069,5.052
11.811,31,5.687,4.833,477,4.808,40.527,-118.02223,4.995
3.782,11,7.443,2.205,982,4.746,33.9279,-121.96076,2.145
1.077,37,9.706,3.508,1979,1.724,38.59262,-118.10602,0.571
12.416,44,4.791,2.381,2916,1.984,38.23933,-120.13303,4.976
10.896,36,4.386,4.243,3660,3.732,39.09687,-119.73899,3.496
11.206,45,5.594,3.784,3493,4.421,41.82213,-117.24588,5.13
11.798,22,7.791,2.313,2299,4.761,33.53956,-117.63729,5.498
2.037,1,9.692,3.866,2891,4.103,38.4777,-122.34019,1.097
6.019,50,6.292,4.027,101,4.916,38.17054,-124.38692,2.617
2.622,4,8.5,1.553,1824,3.199,32.57094,-115.59429,1.294
13.083,36,5.715,3.313,2046,3.803,38.75718,-117.19583,4.901
9.726,8,2.319,4.231,3514,3.166,37.22301,-115.20956,3.999
5.633,25,9.154,1.201,1057,4.805,39.84342,-121.6255,3.038
